name,experience,rating,review_text,likes,review_title,Unnamed: 4,Unnamed: 5
Vanesa Fraccarolli,4 reseñas · 7 fotos,5 estrellas:,"Impecable la experiencia con Flybondi Ida y vuelta desde Cordoba a Salta. Supr puntuales a horarios, sin dificultades. También viaje en el vuelo de vuelta desde Brasil a Bs As. Un placer de aerolínea!",,,,
Betiana Tetti,Local Guide · 703 reseñas · 3.139 fotos,5 estrellas:,"La verdad que siempre que viajé Flybondi fue todo excelente. La cordialidad, la puntualidad, la flota. La mejor aerolínea de Argentina me atrevería a decir. Los elijo hoy y siempre 💖 gracias por acercar la posibilidad de viajar a las clases…",3.0,,,
Valeria Simplituca,22 reseñas · 13 fotos,1 estrellas:,"Una vergüenza y un desastre!!! Cambian las condiciones de tamaño, rigidez, peso, etc. de los bolsos a último momento. Cuando compras el pasaje te dice “…Tu reserva incluye un EQUIPAJE DE MANO de hasta 10 kg”. Al dirigirte a la empresa para…",4.0,,,
Aldana Santandreu,6 reseñas · 6 fotos,5 estrellas:,"Tanto el vuelo de ida como de vuelta a Bariloche en vacaciones de invierno salió en horario, no tuvimos problemas. Saque los pasajes en abril a muy buen precio.",1.0,,,
Elian Pinel,Local Guide · 104 reseñas · 422 fotos,5 estrellas:,Viajamos sin ningún tipo de contratiempo a bariloche a principios de mayo. Los chicos flybondi son muy amables. En el aterrizaje de ida todos aplaudimos uhrra!!!! Porque fue complejo había mucha nieve y lluvia y fue impecable. De vuelta…,3.0,,,
Lujan Canteros,Local Guide · 109 reseñas · 358 fotos,5 estrellas:,"Volé dos veces, me gustó. La atención del personal a bordo, el servicio de merienda que proporciona a precios razonables, y la responsabilidad de aviso y reorganización en el caso que haya un imprevisto.",,,,
Debian,Local Guide · 46 reseñas · 66 fotos,1 estrellas:,Compré 2 pasajes de avión y me estafaron. Cobrándome exceso de equipaje. Cada valija tenía 10 Kg y supuestamente no había comprado para despachar cuando SI LO HICE. No me querían dejar viajar.,,,,
Cristina Rivarola,Local Guide · 35 reseñas · 88 fotos,5 estrellas:,"Excelente  , tuve la mejor experiencia al volar por primera vez y hacer dos vuelos con escala.",1.0,,,
Brian Goldenstein,Local Guide · 12 reseñas · 1 foto,1 estrellas:,No cumplen con los horarios. En la ida nos cambian a Ezeiza faltando 2 horas y encima cuando llegamos nos avisan que se retrasó mas y no sale en horario. Y a la vuelta llegamos al aeropuerto y también ya salía retrasado.…,3.0,,,
Juan Jose Santillan,Local Guide · 24 reseñas · 16 fotos,1 estrellas:,"Simplemente... No los elijo nunca más.

Lamentablemente aposté en esta empresa pero fallaron con lo único que tienen que…",4.0,,,
Maria Navarro,10 reseñas · 8 fotos,4 estrellas:,"He tenido experiencia buenas y malas  con ustedes, lo bueno es que tienen precios accesible y promociones, sorteos, pero también hay cosas negativas por ejemplo cada vez que voy a viajar me cambian los horarios, aeropuerto sin pensar si me…",,,,
Natalia Rodriguez Palacios,2 reseñas · 1 foto,5 estrellas:,"Viaje x Flybondi x 1era vez, con un poco de temor x los comentarios, pero la diferencia de tarifa con otras compañías era mucha, la verdad me sorprendió  todo impecable, puntual, buen servicio, y super fácil. Lo volvería a elegir!",,,,
Flavia Naiara,Local Guide · 213 reseñas · 195 fotos,5 estrellas:,"Todo espectacular!! Salvo la media hora de atraso que tuvo al salir desde Ezeiza a Ushuaia, no fué mucho pero casi pierdo mi combi por ese motivo.
Me gustaría que hubiera descuentos para los residentes de TDF y que debemos…",1.0,,,
