name,rating,relevance_score,review
Vanesa Fraccarolli,5.0,0.0039461692101844,impecable experiencia flybondi ida vuelta cordoba saltar supr puntual horario dificultad viaje vuelo vuelta brasil bs as placer aerolínea
Betiana Tetti,5.0,0.7147608059105275,verdad siempre viajar flybondi excelente cordialidad puntualidad flota mejor aerolínea argentino atrever decir elijo hoy siempre gracia acercar posibilidad viajar clase ...
Valeria Simplituca,1.0,0.0237836684830033,"vergüenza desastre cambiar condición tamaño rigidez peso etcétera bolso último momento compra pasaje decir "" …tu reserva incluir equipaje mano 10 kg "" dirigir empresa para ..."
Aldana Santandreu,5.0,0.0064573677984835,vuelo ida vuelta bariloche vacaciones invierno salir horario problema saque pasaje abril buen precio
Elian Pinel,5.0,0.1076421881362834,viajar ninguno tipo contratiempo bariloche principio mayo chico flybondi amable aterrizaje ida aplaudir uhrra complejo mucho nieve lluvia impecable vuelta ...
Lujan Canteros,5.0,0.110124299482247,volar dos vez gustar atención personal bordo servicio merienda proporcionar precio razonable responsabilidad aviso reorganización caso imprevisto
Debian,1.0,0.0462099323236828,comprar 2 pasaje avión estafar cobrar yo exceso equipaje cada valija 10 kg supuestamente comprado despachar si hacer querer dejar viajar
Cristina Rivarola,5.0,0.0363396614244992,excelente mejor experiencia volar primero vez hacer dos vuelo escala
Brian Goldenstein,1.0,0.0143497062188524,cumplir horario ida cambiar ezeiza faltar 2 hora encima llegar avisar retrasar más salir horario vuelta llegar aeropuerto salir retrasado ...
Juan Jose Santillan,1.0,0.02672147995889,simplemente elijo nunca más lamentablemente apostar empresa fallar único que ...
Maria Navarro,4.0,0.0097733134247319,experiencia buen malo tú buen precio accesible promoción sorteo cosa negativo ejemplo cada vez ir viajar cambiar horario aeropuerto pensar si yo ...
Natalia Rodriguez Palacios,5.0,0.0019391494890341,viaje x flybondi x 1era vez temor x comentario diferencia tarifa compañía mucho verdad sorprender impecable puntual buen servicio super fácil volver elegir
Flavia Naiara,5.0,0.2099614109251681,espectacular salvo medio hora atraso salir ezeiza ushuaia ser casi perder combi motivo yo gustar descuento residente tdf deber ...
Fernando César PEDRAZA MORALES,5.0,0.0029087242335511,viaje saltar hacer mes atrás aprox el último viaje saltar hecho través d flybondi vuelo técnicamente buenísimo general piloto mb pericia ...
Monica Gimenez,5.0,0.1898912137136651,viajar varios vez este empresa suerte saber nunca problema vez bs as tucumán tucumán bs as excelente vuelo super atento personal tripulación servir refrigerio pedir café leche alfajor 500
MONICA POLZELLA,5.0,0.0049933099342628,hermoso vuelo 8 vez viaje ud río janeiro suerte nunca problema salvar alguno pequeño retraso medio hora vuelo ...
Jorgepoltro Poltronieri,4.0,0.3961585448622234,ser línea low cost andar bien si ser alto viajar apretado atención personal buen afectar medida fuerza intercargo retraso demor cancelación menudo hacer cargo dejar ezeiza pasaje decir aeroparque arreglate poder
Fernando Schamne,3.0,0.0098896623940739,realmente vuelo mayor problema contar menos cambiar horario dos vuelo avisar mismo día uno hora si tener cosa organizado complicar situación
netflix santa fe,5.0,0.0253059008318951,mucho gracia flybondi excelente ida regreso bariloche demorar ida propio conflicto aeronáutico regreso horario excelente oportunidad viajar barato país brasil gran abrazo
Shirley Alarcón,4.0,0.1886404622932381,empresa volar territorio argentino escoger viaje nacional buen aire iguazú este vuelo ir lleno dirigir lugar turístico asiento ser ...
Yesica Rubino,4.0,0.1393278907871007,experiencia aerolínea lamayorio oportunidad excelente alguno vez atrasar vuelo notificar vez cancelar vuelo avisar 6 día anticipación dándomelaposibilidad de ... e…
Maria Fernanda Villarreal,5.0,0.0006108320890457,destacar cordialidad personal diferencia aerolinea atento niño tema puntualidad reprogramación tema habitual fly buen resto bien todo
maria laura heyde,5.0,0.0193624076480055,experiencia positivasolo modificar tiempo regreso ezeiza quedar mejorhasta ahora seguir elegir yo quedar 2 viaje másespero seguir así ushuaia junio2024
Romina Santillan,5.0,0.0029281157284415,hermoso viaje demora comprensible esperar poder hacer viaje excelente servicio
Lic. Adriàn Ariel Cassino,5.0,0.0383369853982043,excelente servicio prevuelo vuelo tripulación excelente espacio pierna suficiente bajito único asiento bastante duro viaje 3 4 hora excelente tiempo ... asiento viaje duro
Luz Alon,4.0,0.0090267408714537,poner 5 estrella dejar cambiar vuelo motivo día poder volar dificultad demás bien chico cabina siempre pendiente amable
Victor ismael Recalde,5.0,0.0060404506583412,todo línea aéreo tomar ejemplo dar él oportunidad mucho gente único oportunidad viajar avión felicitar agradecer regalo dar cliente feliz cumpleaños grande flybondi
gabriel Goncalves,5.0,0.01393278907871,buen atención bordo buen combo snack bordo vuelo iguazú horario buen aeronave
laura gomez,5.0,0.0099575326261901,excelente personal abordo capitán vuelo sentir despegue aterrizaje genio
M. Agustina Leiva,2.0,0.0247435474800752,ganar pasaje ofrecer aniversario aerolínea febrero 2024 elegir tramo mendoza buen aire viajar jueves 44 sólo pagar impuesto decir promo además pagar valija bodega ...
Pilar Aiello,1.0,0.0085516492466404,verdad q descontrol hecho empresa respetar ninguno vuelo contratado cambiar horario fecha aeropuerto supuesto asumir ninguno gasto q ineficiencia provocar ahhhh además llegar 50 minuto demorado único empresa q tanto problema
Paola Fernandez,5.0,0.0077856851984719,excelente viaje personal súper amable gracia posibilidad volar
Lo Pequeño es Hermoso,5.0,0.0135740464232387,viaje primero ida vuelta gozar calido atención horario puntual piloto increíble despegue aterrizaje suave preciso personal bordo gentil ...
Sol Mattivi Aboy,1.0,0.0195563225969089,dar estrella poder poner puntaje negativo peor experiencia vida findir largo cancelar vuelo ida 24hrs brindar ninguno ...
Guillermo Luis Grassi,1.0,0.5849638348620295,estrella estresar pasajero avión interior sucio roto espacio diminuto poblado asiento ...
Daiana Moyano,2.0,0.0011634896934204,aerolinea drama alguno reprogramar 3 vez vuelo menos 24 hora cambiar aeropuerto destino asegurar movilidad pasajerostener tremendo infraestructura brindar mejor servicio buen ue permitir expresar opinión
Martin Mambrin,5.0,0.010006011363416,oportunidad viajar año primero vez empresa flybondi duda superar expectativa vuelo buen demoro salida realizar mantenimiento avión responsabilidad y ...
ANGELO B Z,1.0,0.0172099517151777,pésimo servicio avión sucio roto accesorio avión ese si cóbratar 1 kilo demás buen
Sebastian Rubel,4.0,0.2571409179933681,vuelo excelente bien llevado tripulación impecable sólo objeto qeu pagar usar maletero superior poder delimitar tamaño peso hacer mano llevar mantener bajo costo cobrar bodega cuestionar si uso maletero
Facundo Krivanek,5.0,0.0058174484671023,vuelo ida demorar 6 hora hielo pista destino esperar tedioso aerolínea portar ofrecer almuerzo costo vuelo vuelta ninguno tipo problema salir minuto ...
Sebastián Cardozo,5.0,0.0430782058988927,problema viajar empresa el tripulación cordial por precio pagar recomendable ...
maria carabajal,4.0,0.0019391494890341,criticar verdad primero vez uso bien nose si suerte si bien horario buen servicio buen vuelo verdad volver elegir miedo volver elegir
Jose Luis Matzner,4.0,0.0881343442766002,vuelo bien tranquilo empresa prestar excelente servicio dar vuelo cambio aeropuerto fecha consiguiente trastorno ok
Elena Marques,5.0,0.0048769609649207,vuelo confortable horario pesar intenso nevada día
Marisa Bor,5.0,0.0147569276115495,duda respecto empresa pasaje ganar sorteo cumpleaños hacer elegir volar jujuy vacaciones invierno vuelo salir horario ninguno inconveniente prejuicio de ... e…
Antonella Diaz,5.0,0.0413523628536523,mejor línea viajar único piloto entender decir viaje aerolínea entender destacar piloto igual azafata excelente servicio inicio final piloto paso gran tormenta 10 verdad mucho seguridad transmitir
Jorge Allen,5.0,0.0025984603153057,buen atención predisposición personal excelente cordialidad puntualidad higiene
Virginia San Martino,5.0,0.0023657623766216,viajar mucho vez flybondi deber decir único vez demorar vuelo conocí amor vida así súper justificado en oportunidad ganar pasaje volver bariloche lugar yo ...
Daniela Bonomo,4.0,0.0398398262522057,verdad destacar excelente atención personal mostrador aeroparque personal ambos vuelo aeropuerto saltar el vuelo bien vuelo vuelta reprogramar ...
Abel Oscar Laghezza,1.0,5.817448467102328e-05,quedar varado florianopolis vuelo cancelado embarcado esperar 10 hora día 24 julio 2024ninguna respuesta satisfactorio desastre
marcela monzon,5.0,2.908724233551164e-05,primero vez viajo flybondy hermoso experiencia buen servicio
Gabriela Loncon,5.0,0.0117512459035467,primero vez viajo flybondi preguntar hacer excelente experiencia compra on line ágil vuelo asistente vuelo amable duda volver viajar flybondi
Daniel Escada,5.0,0.0029281157284415,excelente vuelo horario sólo atención público personal personal cabina genial
Mariana Bianchi,5.0,0.0054974888014117,excelente compañía siempre tratar crecer seguir adelante pesar traba permanente entedir q trabajo seguir adelante felicitar personal foto día paro flybondi poco compañía q seguir actividad
Enio Aldazoro,3.0,0.0058174484671023,general servicio bastante buen personal amable malo siempre cambiar itinerario aunque planificar llegar salir aeroparque siempre termino llegar salir ezeiza punto el ...
Daniel Milone,1.0,0.0,cancelar vuelo 12hs partida dejar teléfono reprogramar él insistir 50 vez nunca contestar necesitar volver si si vacaciones pagar nuevo pasaje mismo flybondi ...
Gianella Nicole Kimberly Costelaz,3.0,0.0058853186992185,relación calidadprecio viajar buen aire bariloche demora entrar avión asiento sucio calculo equipo cabina no ...
CAROLA SCAVUVI,5.0,0.0250828986406562,viajar hija 8 año córdobo bariloche salir bien salir tiempo aterrizar tiempo proceso impecable facilidad check in atención gente felicidad
Leandro Anelli,5.0,0.0155325874071632,impecable puntualidad atención primero vez vuelo hacer experiencia excepcional
agustin navarro,1.0,0.0038782989780682,poner estrella poder poner cero el pagina web siempre dar error hora agregar equipaje intentar varios dispositivo diferente siempre decir servicio disponible en ...
Lucy Rodriguez,1.0,0.0077856851984719,peor experiencia vida 5 vez programar vuelo aun si ir poder viajar día perdido dinero ir volver bolsillo viajar empresa pagar pasaje barato aerolínea después cobrar malo sangre hacer
Laura Pucciarelli,5.0,0.0126044716787217,ser absolutamente puntual horario pleno temporada alto invierno personal tierra abordo ser amable contemplativo colaborador yo viajo perrita cabina el ...
NELSON MOLERO,5.0,0.0019585409839244,comprar ida vuelta mendoza b aire aunque retraso 2 hora avisar correo vuelo ida quedar perfecto andar corto tiempo así impecable igual aeronave super cómodo él ...
Damian Enrique Bracamonte,5.0,3.878298978068219e-05,feliz viajar flybondi año aniversario primero experiencia volar excelente atención momento agradecido 🥳 ...
G H RA,3.0,0.3049797358878395,resultar buen poder tener viaje ida vuelta absolutamente normal bien atendido ventanilla abordo nave comodidad asiento normal 2 viaje ida vuelta horario precio ...
Constanza Enrico,1.0,0.0145436211677558,ganar pasaje ida vuelta bariloche decir poner 1600 impuesto modificar vuelo llamar reprogramar él fecha decir hacer voucher 1400 llegar voucher mi ...
Anabi Yozia,1.0,0.0029087242335511,sólo cambiar vuelo respetar horario rompar valija etcétera sino falta limpieza increíble favor mejorar servicio pésimo
Agus Gutierrez,5.0,0.0127014291531734,verdad vuelo madryn buen aire eficiente buen horario poder viajar
Isabel Amarilla,5.0,0.0025790688204153,holo familia brasil florianópolis si bien viaje corto agradecer atención equipo bordo atención atento cada detalle lindo servicio ...
Daniel Lovera,5.0,0.0048672652174756,buen atención puntualidad salida varios vuelo repetir
Mónica Guilloux,5.0,0.1850239484961895,vuelo excelente apesar subir salir demora importante nervioso señor piloto salir pedir disculpa explicar empresa ajenar paro empleado tierra todo el ...
Lurdes Morales,1.0,0.0181310477224689,experiencia decepcionante fly bondi vuelo atrasar hora ninguno explicación claro además llegar destino demorar 10 minuto abrir puerta desembarcar llamar por ...
Na Capararo,5.0,0.0271093098566968,excelente asociar club flybondi 2021 renuevo cada año nunca cambio horario importante inconveniente ninguno indole el precio buen chicoso tocado volar siempre amable
GUILLERMO IBARRA,5.0,0.0100835773429773,excelente servicio puntual correcto asistencia tripulación vuelo viaje insentivo disfrutal vuelo lamento ajeno empresa falta asistencia manga ezeiza gracia flybondi
Santiago Gonzalez Celestre,4.0,0.1074191859450445,personal cabina cordial vuelo llevar cabo forma esperado si bien poder surgir cambio horario agradecer predisposición aerolínea mantener servicio
Diego Esper,3.0,0.0515425934185266,satisfecho mejor amabilidad profesionalismo tripulación negativo debitar dos vez compra bordo todavía dar solución
Carlos Simes,5.0,0.1435164536834144,buen experiencia vuelo salir horario llegar minuto destino personal amable siempre atento requerimiento pasajero avión impecable buen servicio precio accesible felicitación equipo flybondi
Luciano Martin,1.0,0.0485272159630785,peor empresa viaje nunca más cumplir 2 vuelo tomar ninguno horario cancelar 8hs reprogramación re programar 10h esperar aeropuerto desastre pagar él ...
Cinthya González,1.0,0.0168706005545967,comprar aerolínea hacer pasar mal rato cambiar vuelo cancelar cambiar aeropuerto contestar llamada reponer dinero desastre hacer lío viaje único rescato buen ...
Gonzalo Rufino,5.0,0.2676414124764878,viajar sar juan verdad excelente atención checkin azafata vuelo salir llegar horario establecido aeronave buen estado
Daniela Muñoz,4.0,0.0087843471853245,primero viaje avión verdad quedar contentar trato check in llegada aeropuerto excelente el comida bordo accesible mejor precio comprar cualquiera kiosco volver viajar empresa
