name,likes,rating,review,given_reviews,pictures,local_guide,relevance_score,relevance_score_normalized,language,review_translated
22fortinero,0,1.0,"malisima. malisimo..la peor.
vuando fuimos perdi un dia de hotel.
a la vuelta volvimos con aerolineas arg..a pesar de ke teniamos pago la vuelta con fly.
1 ro porke suspendieron el viaje porke si
y 2 do el miedo a.volar esos aviones con poco mantenimiento.
fly bondi nunca mass!!",0,0,0,0.0,0.0,es,"malisima. malisimo..la peor.
vuando fuimos perdi un dia de hotel.
a la vuelta volvimos con aerolineas arg..a pesar de ke teniamos pago la vuelta con fly.
1 ro porke suspendieron el viaje porke si
y 2 do el miedo a.volar esos aviones con poco mantenimiento.
fly bondi nunca mass!!"
23russellv,0,2.0,"one of the worst we have flown. we have flown hundreds of airlines.  this was possibly the worst.  worse than spirit.  about the sam amount of room as spirit, but with  seats don't recline on spirit so you aren't stuck with someone's seat in your face.  flight was 1.5 hours late. the best part, we noticed the floor was wet.  thought a water bottle was leaking, but actually someone had vomited and left vomit and tissues in the seat back, which hadn't been cleaned before us.",0,0,0,0.0,0.0,en,"Uno de los peores que hemos volado.Hemos volado cientos de aerolíneas.Esto fue posiblemente lo peor.peor que el espíritu.sobre la cantidad de espacio de Sam como espíritu, pero con los asientos no se recline en el espíritu para que no esté atrapado con el asiento de alguien en la cara.El vuelo llegó 1.5 horas tarde.La mejor parte, notamos que el piso estaba mojado.Pensé que una botella de agua estaba goteando, pero en realidad alguien había vomitado y dejado vómito y tejidos en el asiento hacia atrás, que no se había limpiado ante nosotros."
4family,0,1.0,"terrible service. flight was first delayed 25 min then  supposed delayed 1 hour but by the time they got everyone boarded which was so slow and unorganized we took off even later. i asked the flight attendant if we could get off first to catch our next flight which she said we could then she did nothing when the time came after landing to help us and did not offer to call the other airline to let the gate know we were coming. so even though we initially had 2.5 hour layover between flights we missed our next flight and had to pay another $3900 for new tickets for the flights we missed. travel
insurance doesn’t look like they will pay for the missed flight and repurchase of new flights. you suck bondi!!!!",0,0,0,0.0,0.0,en,"Terrible servicio.El vuelo se retrasó por primera vez 25 minutos y luego se retrasó 1 hora, pero cuando se abordaron a todos, lo que era tan lento y desorganizado que despegamos incluso más tarde.Le pregunté a la azafata si podíamos salir primero para tomar nuestro próximo vuelo, que dijo que no podríamos hacer nada cuando llegó el momento después de aterrizar para ayudarnos y no ofrecía llamar a la otra aerolínea para que la puerta sepas que estábamos.próximo.Entonces, a pesar de que inicialmente tuvimos una escala de 2.5 horas entre vuelos, perdimos nuestro próximo vuelo y tuvimos que pagar otros $ 3900 por los boletos nuevos por los vuelos que nos perdimos.viajar
El seguro no parece que pagarán el vuelo perdido y la recompra de nuevos vuelos.¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡."
5travellers602013,0,1.0,"rubbish low cost airline. bought 6 tickets via booking.com which said a personal item(handbag/backpackto fit under the seat) and a carry on bag was included.
we consequently bought checked in luggage via flybondi website.
when we went to the counter they said only personal item is included. they were not prepared to accept from the booking.com website print out that the carry on luggage was included and insisted we have to pay for that. we had no choice and had to pay at the counter. thoroughly disappointed with their attitude and service!!",0,0,0,0.0,0.0,en,"Basco de la aerolínea de bajo costo.Compré 6 boletos a través de Booking.com que decía un artículo personal (bolso/mochila que se ajusta debajo del asiento) y se incluyó una bolsa de transporte.
En consecuencia, compramos el equipaje checked en el sitio web de Flybondi.
Cuando fuimos al mostrador, dijeron que solo se incluye un artículo personal.No estaban preparados para aceptar en el sitio web de Booking.com imprimiendo que el equipaje de transporte se incluyó e insistió en que tengamos que pagar por eso.No teníamos otra opción y tuvimos que pagar en el mostrador.¡completamente decepcionado con su actitud y servicio!"
885David_R885,0,1.0,not refunding cancelled flights. not refunding canceled flights and basically stealing everybody's fare. it's highly dubious considering much of the fare was baggage and taxes.,0,0,0,0.0,0.0,en,No reembolsar vuelos cancelados.No reembolsar vuelos cancelados y básicamente robar la tarifa de todos.Es muy dudoso considerar que gran parte de la tarifa era equipaje e impuestos.
ALEJANDRO GORBARAN,0,1.0,". nunca más volare x esta empresa,  no cancelaron el vuelo de regreso y perdimos un día del viaje. el día del vuelo salio retrazado, sumado q en el viaje de idea nos rompieron 2 valijas y no se hacen cargo. un desastre. con esta empresa lo barato termina saliendo carísimo.",2,0,0,1.0,0.0019391494890341095,es,". nunca más volare x esta empresa,  no cancelaron el vuelo de regreso y perdimos un día del viaje. el día del vuelo salio retrazado, sumado q en el viaje de idea nos rompieron 2 valijas y no se hacen cargo. un desastre. con esta empresa lo barato termina saliendo carísimo."
ANA MARIA R,0,5.0,"ameno y familiar. volar c9n está compañía es como viajar en auto con la familia.   el personal de abordo lo hace posible.  son cordiales  amables y hasta parecen de la familia.  nos llaman p ir el nombre y nos cuentan algunas cosas fe algún viajero. los baños impecables. son aviones para viajes cortos . en mi caso se respetaron los horarios y ya viaje más de una vez
",0,0,0,0.0,0.0,es,"ameno y familiar. volar c9n está compañía es como viajar en auto con la familia.   el personal de abordo lo hace posible.  son cordiales  amables y hasta parecen de la familia.  nos llaman p ir el nombre y nos cuentan algunas cosas fe algún viajero. los baños impecables. son aviones para viajes cortos . en mi caso se respetaron los horarios y ya viaje más de una vez
"
ANDREA ALDANA SEGURA FLORES,0,1.0,"terrible experiencia. terrible experiencia, había pagado mi carry on, pero cuando quise subir me hicieron pagarlo de vuelta. la mujer que me atendió no me quería dar su nombre, muy irrespetuosa y cero profesionalismo. no recomiendo esta empresa.",1,0,0,0.5,0.0009695747445170547,es,"terrible experiencia. terrible experiencia, había pagado mi carry on, pero cuando quise subir me hicieron pagarlo de vuelta. la mujer que me atendió no me quería dar su nombre, muy irrespetuosa y cero profesionalismo. no recomiendo esta empresa."
ANGELO B Z,1,1.0,". pésimo servicio. los aviones muy sucios y todo rotos los accesorios del avión.
eso si para cóbrate 1 kilo demás son buenos",16,15,1,8.875,0.01720995171517772,es,". pésimo servicio. los aviones muy sucios y todo rotos los accesorios del avión.
eso si para cóbrate 1 kilo demás son buenos"
AQUIMENDOZA,0,1.0,"flybondi tu peor experiencia. todavia no viajo, de hecho compre el pasaje el 7 de agosto2024, desde ese entonces ntento modificar el vuelo, o sea lo tenia reservado para el 10-09 y lo necesito para el 11-09, decenas de veces intente hacer el cambio por la pagna de flybondi y goto gate, cero solucion,  imposible hacer el cambio hoy es 24 de agosto y claro como era obvio ya no hay lugar.  intente todo, pagina, el asistente electronico, 0800  todo todo y nada, cero solucion, no compres flybondi, no compres por goto gate , tomate la moelstia es mas caro pero compra en una agencia y si es posible por aerolineas, lo que pagas en precio te ahorras en dolor de cabeza",0,0,0,0.0,0.0,es,"flybondi tu peor experiencia. todavia no viajo, de hecho compre el pasaje el 7 de agosto2024, desde ese entonces ntento modificar el vuelo, o sea lo tenia reservado para el 10-09 y lo necesito para el 11-09, decenas de veces intente hacer el cambio por la pagna de flybondi y goto gate, cero solucion,  imposible hacer el cambio hoy es 24 de agosto y claro como era obvio ya no hay lugar.  intente todo, pagina, el asistente electronico, 0800  todo todo y nada, cero solucion, no compres flybondi, no compres por goto gate , tomate la moelstia es mas caro pero compra en una agencia y si es posible por aerolineas, lo que pagas en precio te ahorras en dolor de cabeza"
Aaraon C. I. Comba,1,5.0,". es la segunda vez que viajo con ellos y todo fue muy bien, es sencilla la forma de comprar el pasaje, pagar, hacer el check in, etc etc...
la tripulación es muy amable y sin complicarte te resuelven cualquier inconveniente.
muy linda la onda de todos dentro de la compañía y los vuelos fueron siempre perfectos.
los.volvere a elegir !",794,2470,1,410.15000000000003,0.7953421629273401,es,". es la segunda vez que viajo con ellos y todo fue muy bien, es sencilla la forma de comprar el pasaje, pagar, hacer el check in, etc etc...
la tripulación es muy amable y sin complicarte te resuelven cualquier inconveniente.
muy linda la onda de todos dentro de la compañía y los vuelos fueron siempre perfectos.
los.volvere a elegir !"
Abel Cortona,0,3.0,. con respecto al vuelo todo muy bien. el problema que tuvimos es que nos  cambiaron el aeropuerto de llegada. y no nos reconocieron nada. tuvimos que volar a aeroparque y de ahí ir a ezeiza por nuestra cuenta a buscar el auto que lo habíamos dejado ahí..,2,5,0,1.025,0.001987628226259962,es,. con respecto al vuelo todo muy bien. el problema que tuvimos es que nos  cambiaron el aeropuerto de llegada. y no nos reconocieron nada. tuvimos que volar a aeroparque y de ahí ir a ezeiza por nuestra cuenta a buscar el auto que lo habíamos dejado ahí..
Abel E C,0,1.0,"flybondi es imposible comunicarte con ellos si vives fuera de argentina. la aerolínea flybondi me cambio el vuelo, pero no me sirve su reprogramacion. si quiero cambiarlo por la web me cobra recargos y marcar al teléfono que tienen es imposible",0,0,0,0.0,0.0,es,"flybondi es imposible comunicarte con ellos si vives fuera de argentina. la aerolínea flybondi me cambio el vuelo, pero no me sirve su reprogramacion. si quiero cambiarlo por la web me cobra recargos y marcar al teléfono que tienen es imposible"
Abel Oscar Laghezza,0,1.0,. quedamos varados en florianopolis. vuelo cancelado y todos embarcados esperamos 10 horas el día 24 de julio 2024.ninguna respuesta satisfactoria. un desastre.,0,6,0,0.03,5.817448467102328e-05,es,. quedamos varados en florianopolis. vuelo cancelado y todos embarcados esperamos 10 horas el día 24 de julio 2024.ninguna respuesta satisfactoria. un desastre.
Adam,0,1.0,"makes european budget carriers look like emirates. oversold my flight by 10 people - bumping us to the next flight ~5 hrs later with no apology or compensation. 

extremely long line at check-in. inefficiency gate agents, impossible to get things done. 

online check-in didn't work. 

just pay the extra $100 to fly latam.",0,0,0,0.0,0.0,en,"Hace que los transportistas de presupuesto europeos se parezcan a Emirates.sobrevendió mi vuelo por 10 personas, que nos lleva al siguiente vuelo ~ 5 horas más tarde sin disculpas ni compensación.

Línea extremadamente larga en el check-in.Agentes de la puerta de ineficiencia, imposible de hacer las cosas.

El check-in en línea no funcionó.

Solo pague los $ 100 adicionales para volar Latam."
