name,likes,rating,review,given_reviews,pictures,local_guide,relevance_score,relevance_score_normalized,language,review_translated
22fortinero,0,1,"malisima. malisimo..la peor.
vuando fuimos perdi un dia de hotel.
a la vuelta volvimos con aerolineas arg..a pesar de ke teniamos pago la vuelta con fly.
1 ro porke suspendieron el viaje porke si
y 2 do el miedo a.volar esos aviones con poco mantenimiento.
fly bondi nunca mass!!",0,0,0,0.0,0.0,es,"Terrible terrible ... the worst.
Vuando we lost a hotel day.
On the way back we returned with arc airlines arg ... despite that we had the return with Fly.
1 ro porke suspended the journey through
and 2 do fear A.Volar those planes with little maintenance.
Fly Bondi Never Mass !!"
23russellv,0,2,"one of the worst we have flown. we have flown hundreds of airlines.  this was possibly the worst.  worse than spirit.  about the sam amount of room as spirit, but with  seats don't recline on spirit so you aren't stuck with someone's seat in your face.  flight was 1.5 hours late. the best part, we noticed the floor was wet.  thought a water bottle was leaking, but actually someone had vomited and left vomit and tissues in the seat back, which hadn't been cleaned before us.",0,0,0,0.0,0.0,en,"one of the worst we have flown. we have flown hundreds of airlines.  this was possibly the worst.  worse than spirit.  about the sam amount of room as spirit, but with  seats don't recline on spirit so you aren't stuck with someone's seat in your face.  flight was 1.5 hours late. the best part, we noticed the floor was wet.  thought a water bottle was leaking, but actually someone had vomited and left vomit and tissues in the seat back, which hadn't been cleaned before us."
4family,0,1,"terrible service. flight was first delayed 25 min then  supposed delayed 1 hour but by the time they got everyone boarded which was so slow and unorganized we took off even later. i asked the flight attendant if we could get off first to catch our next flight which she said we could then she did nothing when the time came after landing to help us and did not offer to call the other airline to let the gate know we were coming. so even though we initially had 2.5 hour layover between flights we missed our next flight and had to pay another $3900 for new tickets for the flights we missed. travel
insurance doesn’t look like they will pay for the missed flight and repurchase of new flights. you suck bondi!!!!",0,0,0,0.0,0.0,en,"terrible service. flight was first delayed 25 min then  supposed delayed 1 hour but by the time they got everyone boarded which was so slow and unorganized we took off even later. i asked the flight attendant if we could get off first to catch our next flight which she said we could then she did nothing when the time came after landing to help us and did not offer to call the other airline to let the gate know we were coming. so even though we initially had 2.5 hour layover between flights we missed our next flight and had to pay another $3900 for new tickets for the flights we missed. travel
insurance doesn’t look like they will pay for the missed flight and repurchase of new flights. you suck bondi!!!!"
5travellers602013,0,1,"rubbish low cost airline. bought 6 tickets via booking.com which said a personal item(handbag/backpackto fit under the seat) and a carry on bag was included.
we consequently bought checked in luggage via flybondi website.
when we went to the counter they said only personal item is included. they were not prepared to accept from the booking.com website print out that the carry on luggage was included and insisted we have to pay for that. we had no choice and had to pay at the counter. thoroughly disappointed with their attitude and service!!",0,0,0,0.0,0.0,en,"rubbish low cost airline. bought 6 tickets via booking.com which said a personal item(handbag/backpackto fit under the seat) and a carry on bag was included.
we consequently bought checked in luggage via flybondi website.
when we went to the counter they said only personal item is included. they were not prepared to accept from the booking.com website print out that the carry on luggage was included and insisted we have to pay for that. we had no choice and had to pay at the counter. thoroughly disappointed with their attitude and service!!"
885david_r885,0,1,not refunding cancelled flights. not refunding canceled flights and basically stealing everybody's fare. it's highly dubious considering much of the fare was baggage and taxes.,0,0,0,0.0,0.0,en,not refunding cancelled flights. not refunding canceled flights and basically stealing everybody's fare. it's highly dubious considering much of the fare was baggage and taxes.
_cgarate33,0,5,bajo costo. la incorporación de las lineas aéreas de bajo costo no solo ha permitido ahorrar una buena cantidad de dinero por los viajes sino que permitio que muchísima gente que nunca viajo en avión ahora pudo hacerlo. son puntuales impecable la higiene de las aeronaves y tienen un personal extremadamente amable que lo hacen sentir muy cómodo con cierto grado de agradable informalidad,0,0,0,0.0,0.0,es,low cost.The incorporation of low -cost airlines has not only allowed saving a good amount of money for trips but also allowed many people who never travel by plane now could do so.They are impeccable on the hygiene of the aircraft and have an extremely friendly staff that make it very comfortable with a certain degree of pleasant informality
aaraon c. i. comba,1,5,"es la segunda vez que viajo con ellos y todo fue muy bien, es sencilla la forma de comprar el pasaje, pagar, hacer el check in, etc etc...
la tripulación es muy amable y sin complicarte te resuelven cualquier inconveniente.
muy linda la onda de todos dentro de la compañía y los vuelos fueron siempre perfectos.
los.volvere a elegir !",794,2470,1,410.15000000000003,0.7953421629273401,es,"It is the second time that I travel with them and everything went very well, the way to buy the ticket, pay, do check in, etc ... is simple, etc ...
The crew is very friendly and without complicating you solve any inconvenience.
Everyone's wave very pretty inside the company and flights were always perfect.
Los.volvere to choose!"
abel cortona,0,3,con respecto al vuelo todo muy bien. el problema que tuvimos es que nos  cambiaron el aeropuerto de llegada. y no nos reconocieron nada. tuvimos que volar a aeroparque y de ahí ir a ezeiza por nuestra cuenta a buscar el auto que lo habíamos dejado ahí..,2,5,0,1.025,0.001987628226259962,es,With respect to the flight everything very well.The problem we had was that they changed the arrival airport.And they didn't recognize anything.We had to fly to Aeroparque and from there go to Ezeiza on our own to look for the car that we had left there ..
abel e c,0,1,"flybondi es imposible comunicarte con ellos si vives fuera de argentina. la aerolínea flybondi me cambio el vuelo, pero no me sirve su reprogramacion. si quiero cambiarlo por la web me cobra recargos y marcar al teléfono que tienen es imposible",0,0,0,0.0,0.0,es,"Flybondi is impossible to communicate with them if you live outside Argentina.The Flybondi airline changed the flight, but its reprogramming does not help me.If I want to change it on the web, it charges me surcharges and marking the phone they have is impossible"
abel oscar laghezza,0,1,quedamos varados en florianopolis. vuelo cancelado y todos embarcados esperamos 10 horas el día 24 de julio 2024.ninguna respuesta satisfactoria. un desastre.,0,6,0,0.03,5.817448467102328e-05,es,"We were stranded in Florianopolis.Canceled flight and all embarked we wait 10 hours on July 24, 2024.No satisfactory response.A disaster"
